Local,Nome,Logradouro,Latitude,Longitude
Full Serve,Bobby Van's Steakhouse,120 West 45th Street,40.757117,-73.983544
Consumables,F & H Liquor Center Inc,810 7th Ave,40.762639,-73.982146
Full Serve,Martini's Restaurant,810 7th Ave,40.762639,-73.982146
Full Serve,Montenapo Restaurant,250 West 41st Street,40.755973,-73.988886
Coffee,Starbucks,1656 Broadway,40.762257,-73.983492
Full Serve,Aureole,1 Bryant Park,40.755182,-73.98388
Full Serve,Dunhill Cafe,109 W 45th St,40.757026,-73.983291
Café Deli,Cranberry Gourmet,115 W 45th St,40.757078,-73.983411
Full Serve,Haggis Inc,120 W 44th St,40.756461,-73.983952
Full Serve,Saju French Bistro @ Hotel Mela,120 W 44th St,40.756461,-73.983952
Catering,N Valenti Restaurant Associates,120 W 45th St,40.757117,-73.983544
Catering,Patina Restaurant Group,120 W 45th St,40.757117,-73.983544
Bar Lounge,Connolly's Pub And Restaurant,121 W 45th St,40.75713,-73.983533
Full Serve,Cafe Un Deux Trois,123 W 44th St,40.756491,-73.983977
Bar Lounge,The Perfect Pint,123 W 45th St,40.757147,-73.983573
Full Serve,Duvel Bar Rest,125 W 43rd St,40.75586,-73.984418
Full Serve,Trattoria Dopo Teatro,125 W 44th St,40.756505,-73.984017
Full Serve,H&B Heartland Burgers,127 W 43rd St,40.755873,-73.984454
Full Serve,Heartland Brewery,127 W 43rd St,40.755873,-73.984454
Full Serve,Cafe O,130 W 42nd St,40.755278,-73.985172
Full Serve,NIOS Restaurant @ Muse Hotel,130 W 46th St,40.757814,-73.98328
Bar Lounge,O'Brien's Bar and Grill,134 W 46th St,40.757847,-73.98336
Full Serve,Pronto Pizza-Lemlen Pizza,135 W 41st St,40.754691,-73.985797
Full Serve,Bobby Vans,135 W 50th St,40.760374,-73.981533
Full Serve,Bocca To Go Cucian Italiana,135 W 50th St,40.760374,-73.981533
Café Deli,Pret a Manger,135 W 50th St,40.760374,-73.981533
Quick Serve,Qdoba Mexican Grill,135 W 50th St,40.760374,-73.981533
Full Serve,Moda @ Flatotel,135 W 52nd St,40.761736,-73.980883
Full Serve,Margon Restaurant Co.,136 W 46th St,40.757863,-73.9834
Quick Serve,Subway,136 W 44th St,40.756587,-73.984255
Full Serve,Minar Indian Restaurant,138 W 46th St,40.757882,-73.983439
Bar Lounge,Jimmy's Corner,140 W 44th St,40.75662,-73.984331
Café Deli,Metro Deli Ranch 1,141 W 41st St,40.754756,-73.985956
Coffee,Starbucks,1500 Broadway,40.756856,-73.985973
Coffee,Pizza Hut,761 Seventh Ave,40.761184,-73.983186
Full Serve,Tad's Steakhouse,761 Seventh Ave,40.761184,-73.983186
Quick Serve,Haagen-Dazs,761-779 Seventh Ave,40.761184,-73.983186
Quick Serve,Pizza Hut,761-779 Seventh Ave,40.761184,-73.983186
Full Serve,T.G.I. Friday's,761 Seventh Ave,40.761184,-73.983186
Quick Serve,Sbarro,701 Seventh Ave,40.759293,-73.984543
Full Serve,Tad's Steak House,701 Seventh Ave,40.759293,-73.984543
Quick Serve,Papa John'sSubway,765 Eighth Ave,40.76029,-73.987572
Café Deli,Europa Cafe,787 Seventh Ave,40.761955,-73.982622
Full Serve,LyBane Wine Bar,709 Eighth Ave,40.758885,-73.988604
Full Serve,Charley O's,713 Eighth Ave,40.759011,-73.988514
Full Serve,Chicken Bar,717 Eighth Ave,40.759264,-73.98833
Coffee,Starbucks,770 Eighth Ave,40.760496,-73.987395
Full Serve,Pigalle,790 Eighth Ave,40.761127,-73.98694
Quick Serve,A Slice of New York Pizza,727 Eighth Ave,40.759576,-73.988099
Full Serve,Tonic Sports Bar & Restaurant,727 Seventh Ave,40.760059,-73.984005
Full Serve,Daniela's Trattoria,728 Eighth Ave,40.759327,-73.988258
Full Serve,Spice Fusion,777 Eighth Ave,40.76068,-73.987287
Full Serve,Latitude,783 Eighth Ave,40.760814,-73.987189
Full Serve,Brazil Grill,787 Eighth Ave,40.760902,-73.987124
Full Serve,Hawaiian Tropic Zone,729 Seventh Ave,40.760103,-73.983973
Full Serve,Houlihan's Restaurant & Bar,729 Seventh Ave,40.760103,-73.983973
Full Serve,Ruby Tuesday,7 Times Sq,40.755915,-73.986681
Bar Lounge,Playwright Celtic Pub,732 Eighth Ave,40.759401,-73.988204
Full Serve,Smith's Bar & Restaurant,701 Eighth Ave,40.758632,-73.988785
Café Deli,Pax Foods,740 Seventh Ave,40.760369,-73.983807
Consumables,Godiva Chocolatier,745 Seventh Ave,40.760605,-73.983612
Café Deli,Hale & Hearty,745 Seventh Ave,40.760605,-73.983612
Café Deli,Majestic Delication Café,750 Seventh Ave,40.760753,-73.983525
